基金代码,状态,基金经理姓名,基金经理简介,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,资产规模,跟踪标的
501095（主代码）基金类型混合型-偏股,成功,林博程,"林博程先生:硕士,2012年起从事金融相关工作,曾任职于永诚财产保险股份有限公司、招商证券股份有限公司、华泰证券股份有限公司。2013年9月至2014年4月任职于招商证券股份有限公司,担任银行业分析师;2014年4月至2015年10月任职于华泰证券股份有限公司,担任银行业分析师;2015年10月至2021年7月任职于申万菱信基金管理有限公司,担任基金经理;2021年7月加入中银国际证券股份有限公司基金管理部。2015年加入申万菱信基金管理有限公司,曾任行业研究员、基金经理助理,现任申万菱信新动力混合型证券投资基金基金经理,2020年5月14日至2021年7月24日担任申万菱信行业轮动股票型证券投资基金基金经理。2019年2月28日至2021年7月5日担任申万菱信新经济混合型证券投资基金基金经理。2021年12月29日担任中银证券科技创新3年封闭运作灵活配置混合型证券投资基金基金经理。2022年12月21日起担任中银证券精选行业股票型证券投资基金基金经理。2023年2月22日担任中银证券价值精选灵活配置混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,---（每年）,中国战略新兴产业成份指数收益率*80%+中债综合全价指数收益率*20%,5.0621亿份（截止至：2025年09月30日）,2020年02月27日,中银证券科技创新混合型证券投资基金(LOF),农业银行,中银证券科技创新混合(LOF),中银证券,混合型-偏股,林博程,2020年03月12日 / 8.847亿份,每份累计0.00元（0次）,4.25亿元（截止至：2025年09月30日）份额规模5.0621亿份（截止至：2025年09月30日）,该基金无跟踪标的
002900（前端）基金类型指数型-股票,成功,孙伟,"孙伟先生:中国国籍,北京大学工商管理硕士,特许金融分析师(CFA)、注册会计师(CPA),具有基金从业资格。曾任职于腾讯科技有限公司投资并购部、德勤华永会计师事务所深圳分所审计部。2010年2月加入南方基金,历任运作保障部基金会计、数量化投资部量化投资研究员、基金经理助理;2015年5月22日至2016年7月29日,任南方500工业ETF、南方500原材料ETF基金经理;2015年7月2日至2020年12月1日,任改革基金、高铁基金基金经理;2019年7月12日至2021年1月7日,任南方中证500工业ETF基金经理;2019年7月12日至2021年1月14日,任南方中证500原材料ETF基金经理;2020年12月1日至2021年4月19日,任改革基金基金经理;2015年7月10日至今,任500信息基金经理;2016年5月13日至今,任南方创业板ETF基金经理;2016年5月20日至今,任南方创业板ETF联接基金经理;2016年8月17日至今,任500信息联接基金经理;2016年8月19日至今,任深成ETF、南方深成基金经理;2017年3月8日至今,任南方全指证券ETF联接基金经理;2017年3月10日至今,任南方中证全指证券ETF基金经理;2017年6月28日至今,任南方中证银行ETF基金经理;2017年6月29日至今,任南方银行联接基金经理;2018年2月8日至今,任H股ETF基金经理;2018年2月12日至今,任南方H股联接基金经理;2019年7月12日至今,任南方上证380ETF、南方上证380ETF联接基金经理;2020年12月1日至今,任高铁基金基金经理;2022年3月3日至今,任南方上海金ETF基金经理;2023年7月25日至今,任南方上海金ETF发起联接基金经理。",0.10%（每年）,,1.00%（前端）天天基金优惠费率：0.10%（前端）,,,0.50%（每年）,0.00%（每年）,中证500信息技术指数收益率*95%+银行人民币活期存款利率(税后)*5%,2.4449亿份（截止至：2025年06月30日）,2016年07月18日,南方中证500信息技术指数交易型开放式指数证券投资基金发起式联接基金,农业银行,南方中证500信息技术联接A,南方基金,指数型-股票,孙伟,2016年08月17日 / 1.895亿份,每份累计0.00元（0次）,2.95亿元（截止至：2025年06月30日）份额规模2.4449亿份（截止至：2025年06月30日）,中证500信息技术指数
014126（前端）基金类型指数型-股票,成功,袁英杰,"袁英杰先生:硕士研究生。曾任兴业证券股份有限公司研究员,上海申银万国证券研究所有限公司分析师,申万菱信基金管理有限公司高级数量研究员、基金经理助理、申万菱信中证军工指数分级证券投资基金基金经理、申万菱信中证环保产业指数分级证券投资基金基金经理、申万菱信中证申万证券行业指数分级证券投资基金基金经理、申万菱信中小板指数证券投资基金(LOF)基金经理、申万菱信深证成指分级证券投资基金基金经理、申万菱信中证申万电子行业投资指数分级证券投资基金基金经理、申万菱信中证申万传媒行业投资指数分级证券投资基金基金经理、申万菱信中证申万医药生物指数分级证券投资基金基金经理、申万菱信中证申万新兴健康产业主题投资指数证券投资基金(LOF)基金经理、申万菱信沪深300指数增强型证券投资基金基金经理、申万菱信中证500指数优选增强型证券投资基金基金经理、申万菱信臻选6个月定期开放混合型证券投资基金基金经理、申万菱信智选一年期定期开放混合型证券投资基金基金经理、申万菱信中证500指数增强型证券投资基金基金经理、申万菱信价值优利混合型证券投资基金基金经理、申万菱信价值优先混合型证券投资基金基金经理、申万菱信量化小盘股票型证券投资基金(LOF)基金经理、申万菱信量化对冲策略灵活配置混合型发起式证券投资基金基金经理。2020年5月加入华夏基金管理有限公司,历任投资经理,现任投委会成员,华夏沪深300指数增强型证券投资基金基金经理(2021年9月27日起任职)、华夏中证1000指数增强型证券投资基金基金经理(2021年12月7日起任职)、华夏量化优选股票型证券投资基金基金经理(2021年12月14日起任职)、投资经理。",0.15%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.80%（每年）,0.40%（每年）,中证1000指数收益率*95%+人民币活期存款税后利率*5%,3.0716亿份（截止至：2025年06月30日）,2021年11月24日,华夏中证1000指数增强型证券投资基金,招商银行,华夏中证1000指数增强C,华夏基金,指数型-股票,袁英杰,2021年12月07日 / 10.427亿份,每份累计0.00元（0次）,3.10亿元（截止至：2025年06月30日）份额规模3.0716亿份（截止至：2025年06月30日）,中证1000指数
008370（前端）基金类型混合型-偏股,成功,徐治彪,"徐治彪先生:硕士研究生。2012年7月至2014年6月在国泰基金管理有限公司工作,任研究员。2014年6月至2017年6月在农银汇理基金管理有限公司工作,历任研究员、基金经理助理、基金经理。2017年7月加入国泰基金管理有限公司,拟任基金经理。2017年10月起任国泰大健康股票型证券投资基金的基金经理,2019年2月至2020年5月任国泰江源优势精选灵活配置混合型证券投资基金的基金经理,2019年12月起兼任国泰研究精选两年持有期混合型证券投资基金的基金经理,2020年7月起兼任国泰金鹰增长灵活配置混合型证券投资基金和国泰价值经典灵活配置混合型证券投资基金(LOF)的基金经理。2020年08月27日担任国泰医药健康股票型证券投资基金基金经理。2022年3月22日至2023年9月1日担任国泰估值优势混合型证券投资基金(LOF)基金经理。",0.20%（每年）,,1.20%（前端）,,,0.80%（每年）,---（每年）,沪深300指数收益率×80%+中债综合指数收益率×20%,1.0831亿份（截止至：2025年06月30日）,2019年11月28日,国泰研究精选两年持有期混合型证券投资基金,建设银行,国泰研究精选两年持有混合,国泰基金,混合型-偏股,徐治彪,2019年12月24日 / 7.074亿份,每份累计0.00元（0次）,1.93亿元（截止至：2025年06月30日）份额规模1.0831亿份（截止至：2025年06月30日）,该基金无跟踪标的
012922（前端）基金类型QDII-混合偏股,成功,郑希,"郑希先生:中国国籍,理学硕士。现任易方达基金管理有限公司权益投资管理部副总经理、基金经理。曾任易方达基金管理有限公司行业研究员、基金经理助理、投资经理、投资一部副总经理、研究部副总经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率*65%+标普全球1200指数(使用估值汇率折算)收益率*20%+中债总指数收益率*15%,4.4741亿份（截止至：2025年06月30日）,2021年12月21日,易方达全球成长精选混合型证券投资基金(QDII),宁波银行,易方达全球成长精选混合(QDII)人民币C,易方达基金,QDII-混合偏股,郑希,2022年01月11日 / 4.367亿份,每份累计0.00元（0次）,7.10亿元（截止至：2025年06月30日）份额规模4.4741亿份（截止至：2025年06月30日）,该基金无跟踪标的
019994（前端）基金类型指数型-股票,成功,董梁,"董梁先生:中国香港,美国密歇根大学材料科学博士,2003年12月加入UNXInc任分析师,2005年3月加入美国巴克莱环球投资(BarclaysGlobalInvestors)任高级研究员、基金经理,2009年8月加入瑞士信贷(Credit-Suisse)任自营交易员,2011年1月加入信达国际任执行董事、基金经理,2012年8月加入华安基金管理有限公司,任系统化投资部量化投资总监、基金经理,2015年1月加入香港启智资产管理有限公司(ZentificInvestmentManagement)任投资部基金经理,2017年9月加入创金合信基金管理有限公司,曾任创金合信春来回报一年期定期开放混合型发起式证券投资基金基金经理(2019年06月13日至2020年06月22日),创金合信价值红利灵活配置混合型证券投资基金基金经理(2019年09月25日至2020年10月21日),创金合信量化核心混合型证券投资基金基金经理(2019年07月05日至2021年12月01日),创金合信上证超大盘量化精选股票型发起式证券投资基金基金经理(2019年12月27日至2022年03月29日),创金合信同顺创业板精选股票型发起式证券投资基金基金经理(2020年08月26日至2023年06月29日),创金合信行业轮动量化选股股票型证券投资基金基金经理(2023年06月27日至2024年07月23日),现任首席量化投资官、量化指数部负责人,创金合信沪深300指数增强型发起式证券投资基金基金经理(2018年11月19日起任职),创金合信量化发现灵活配置混合型证券投资基金基金经理(2019年07月05日起任职),创金合信中证1000指数增强型发起式证券投资基金基金经理(2019年07月05日起任职),创金合信量化多因子股票型证券投资基金基金经理(2019年07月05日起任职),创金合信中证500指数增强型发起式证券投资基金基金经理(2019年07月05日起任职),创金合信港股通量化股票型证券投资基金基金经理(2021年01月11日起任职),创金合信中证红利低波动指数发起式证券投资基金基金经理(2022年03月29日起任职),创金合信中证科创创业50指数增强型证券投资基金基金经理(2023年03月01日起任职),创金合信北证50成份指数增强型证券投资基金基金经理(2023年12月29日起任职),创金合信均益量化选股混合型证券投资基金基金经理(2024年06月27日起任职)。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.80%（每年）,0.30%（每年）,北证50成份指数收益率*90%+银行活期存款利率(税后)*10%,4.3016亿份（截止至：2025年06月30日）,2023年12月18日,创金合信北证50成份指数增强型证券投资基金,北京银行,创金合信北证50成份指数增强C,创金合信基金,指数型-股票,董梁、黄小虎,2023年12月29日 / 3.152亿份,每份累计0.00元（0次）,7.04亿元（截止至：2025年06月30日）份额规模4.3016亿份（截止至：2025年06月30日）,北证50成份指数
014611（前端）基金类型混合型-偏股,成功,许炎,"许炎先生:中国国籍,研究生、硕士,曾任兴业证券股份有限公司研究员;自2015年6月加入富国基金管理有限公司,历任研究员、权益基金经理、高级权益基金经理、资深权益基金经理;现任富国基金权益投资部权益投资总监助理兼资深权益基金经理。2016年8月至2019年8月任富国天益价值混合型证券投资基金(原富国天益价值证券投资基金)基金经理,2019年3月起任富国互联科技股票型证券投资基金基金经理,自2023年03月起任富国时代精选混合型证券投资基金基金经理,2020年8月起任富国成长策略混合型证券投资基金基金经理,2022年01月起任富国核心科技12个月持有期混合型证券投资基金基金经理基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,2.1965亿份（截止至：2025年06月30日）,2022年01月13日,富国核心科技12个月持有期混合型证券投资基金,建设银行,富国核心科技12个月持有混合A,富国基金,混合型-偏股,许炎,2022年01月28日 / 6.389亿份,每份累计0.00元（0次）,2.26亿元（截止至：2025年06月30日）份额规模2.1965亿份（截止至：2025年06月30日）,该基金无跟踪标的
012569（前端）基金类型混合型-偏股,成功,李佳明,"李佳明先生:南开大学金融学硕士。2012年7月加盟天弘基金管理有限公司,历任研究员。现任基金经理、基金经理助理。2021年07月14日任天弘高端制造混合型证券投资基金基金经理。曾任天弘先进制造混合型证券投资基金的基金经理助理。2024年10月24日担任天弘先进制造混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证高端装备制造指数收益率*70%+恒生指数收益率(经汇率调整)*5%+中证全债指数收益率*25%,1.197亿份（截止至：2025年06月30日）,2021年07月02日,天弘高端制造混合型证券投资基金,北京银行,天弘高端制造混合C,天弘基金,混合型-偏股,李佳明,2021年07月14日 / 12.867亿份,每份累计0.00元（0次）,0.97亿元（截止至：2025年06月30日）份额规模1.197亿份（截止至：2025年06月30日）,该基金无跟踪标的
001229（前端）基金类型混合型-灵活,成功,雷涛,"雷涛先生:中国国籍,硕士,毕业于上海交通大学控制理论与控制工程专业,曾任职于华为技术有限公司,华安证券研究员,德邦证券高级研究总监。2021年6月调入德邦基金,现任股票研究部研究员。2023年3月29日担任德邦稳盈增长灵活配置混合型证券投资基金基金经理。现任德邦半导体产业混合型发起式证券投资基金、德邦科技创新一年定期开放混合型证券投资基金的基金经理。2023年10月13日起担任德邦科技创新一年定期开放混合型证券投资基金、德邦福鑫灵活配置混合型证券投资基金基金经理。2024年1月30日担任德邦鑫星价值灵活配置混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,0.60%（每年）,0.00%（每年）,沪深300指数收益率*50%+恒生指数收益率*10%+中债综合全价指数收益率*40%,0.4079亿份（截止至：2025年09月30日）,2015年04月22日,德邦福鑫灵活配置混合型证券投资基金,民生银行,德邦福鑫灵活配置混合A,德邦基金,混合型-灵活,雷涛,2015年04月27日 / 5.000亿份,每份累计0.00元（0次）,0.78亿元（截止至：2025年09月30日）份额规模0.4079亿份（截止至：2025年09月30日）,该基金无跟踪标的
018128（前端）基金类型指数型-股票,成功,唐屹兵,"唐屹兵先生:中国国籍,硕士。2015年从美国罗格斯大学硕士研究生毕业后加入博时基金管理有限公司。历任研究员、高级研究员、投资经理助理、基金经理助理、上证超级大盘交易型开放式指数证券投资基金(2022年7月22日-2024年2月2日)、博时创业板指数证券投资基金(2022年7月22日-2024年2月2日)、博时上证超级大盘交易型开放式指数证券投资基金联接基金(2022年7月22日-2024年2月2日)的基金经理。现任博时沪深300交易型开放式指数证券投资基金(2022年7月22日-至今)、博时中证红利交易型开放式指数证券投资基金(2022年7月22日-至今)、博时中证可持续发展100交易型开放式指数证券投资基金(2022年7月22日-至今)、博时上证科创板新材料交易型开放式指数证券投资基金(2022年9月30日-至今)、博时中证主要消费交易型开放式指数证券投资基金(2023年3月23日-至今)、博时中证机器人指数型发起式证券投资基金(2023年4月4日-至今)、博时上证科创板50成份指数型发起式证券投资基金(2023年5月18日-至今)、博时北证50成份指数型发起式证券投资基金(2023年5月23日-至今)、博时上证科创板100交易型开放式指数证券投资基金(2023年9月6日-至今)、博时中证医疗指数型发起式证券投资基金(2023年10月24日-至今)、博时国证2000交易型开放式指数证券投资基金(2023年11月23日-至今)、博时中证新能源汽车交易型开放式指数证券投资基金发起式联接基金(2023年11月28日-至今)、博时上证科创板100交易型开放式指数证券投资基金联接基金(2023年12月1日-至今)、博时中证红利低波动100指数型发起式证券投资基金(2023年12月19日-至今)、博时中证红利交易型开放式指数证券投资基金发起式联接基金(2024年4月26日-至今)、博时中证2000交易型开放式指数证券投资基金(2024年5月28日-至今)、博时沪深300交易型开放式指数证券投资基金发起式联接基金(2025年1月14日—至今)的基金经理。",0.10%（每年）,,0.80%（前端）,,,0.50%（每年）,0.00%（每年）,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,2.1244亿份（截止至：2025年06月30日）,2023年05月08日,博时北证50成份指数型发起式证券投资基金,交通银行,博时北证50成份指数发起式A,博时基金,指数型-股票,唐屹兵,2023年05月23日 / 2.998亿份,每份累计0.00元（0次）,3.58亿元（截止至：2025年06月30日）份额规模2.1244亿份（截止至：2025年06月30日）,北证50成份指数
017165（前端）基金类型股票型,成功,孙会东,"孙会东先生:中国国籍,硕士。曾任国联证券股份有限公司管理培训生、分析师,国融基金管理有限公司行业研究员、投资经理,易米基金管理有限公司高级研究员、投资经理。现任易米基金管理有限公司基金经理。2023年6月13日起担任易米低碳经济股票型发起式证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证内地低碳经济主题指数收益率*70%+中证港股通综合指数收益率*10%+中证综合债指数收益率*20%,0.4628亿份（截止至：2025年06月30日）,2023年01月16日,易米低碳经济股票型发起式证券投资基金,兴业银行,易米低碳经济股票发起A,易米基金,股票型,孙会东,2023年03月14日 / 0.967亿份,每份累计0.00元（0次）,0.35亿元（截止至：2025年06月30日）份额规模0.4628亿份（截止至：2025年06月30日）,该基金无跟踪标的
160137（前端）基金类型指数型-股票,成功,龚涛,"龚涛先生:中国国籍,伦敦城市大学人工智能博士,特许金融分析师(CFA),具有基金从业资格。曾就职于巴克莱资本(伦敦)、摩根大通(伦敦)、中信期货、华泰期货、易方达基金,历任中信期货量化研究团队负责人、华泰期货研究总监兼量化组负责人、易方达基金指数与量化投资部投资经理。2019年5月加入南方基金指数投资部;2019年7月12日至2020年12月1日,任互联基金基金经理;2021年9月29日至2023年11月24日,任南方中证科技100ETF基金经理;2022年3月3日至2024年5月17日,任南方上海金ETF基金经理;2023年7月25日至2024年8月16日,任南方上海金ETF发起联接基金经理;2019年7月12日至今,任南方中证A100ETF联接(原:南方中证100指数、南方中证A100指数)、南方小康ETF、南方小康ETF联接基金经理;2020年12月1日至今,任互联基金基金经理;2021年1月22日至今,任新能源ETF基金经理;2021年8月24日至今,任南方中证新能源联接基金经理;2021年11月12日至今,兼任投资经理;2021年11月15日至今,任南方中证物联网主题ETF基金经理;2021年11月26日至今,任长江保护主题ETF基金经理;2021年12月10日至今,任南方上证科创板50成份ETF基金经理;2021年12月17日至今,任南方富时中国国企开放共赢ETF基金经理;2022年9月30日至2025年6月6日任南方上证科创板新材料ETF基金经理;2023年4月11日至今,任南方中证长江保护主题ETF联接基金经理;2023年4月27日至今,任南方中证全指电力公用事业ETF基金经理;2023年11月21日至今,任南方富时中国国企开放共赢ETF发起联接基金经理;2024年3月12日至2025年6月6日任南方上证科创板新材料ETF发起联接基金经理;2024年7月16日至今,任南方中证全指电力公用事业ETF发起联接基金经理;2024年12月19日至今,任南方中证A100ETF基金经理。2025年3月27日至今,任南方深证100ETF基金经理。现任南方深证100交易型开放式指数证券投资基金联接基金基金经理。",0.20%（每年）,,1.00%（前端）,,,1.00%（每年）,0.00%（每年）,中证互联网指数收益率*95%+银行人民币活期存款利率(税后)*5%,0.8705亿份（截止至：2025年06月30日）,2015年06月15日,南方中证互联网指数证券投资基金(LOF),农业银行,南方中证互联网指数(LOF)A,南方基金,指数型-股票,龚涛,2015年07月01日 / 6.119亿份,每份累计0.00元（0次）,0.88亿元（截止至：2025年06月30日）份额规模0.8705亿份（截止至：2025年06月30日）,中证互联网指数
013296（前端）基金类型混合型-偏股,成功,朱辰喆,"朱辰喆先生:中国,管理学硕士,自2015年4月至2016年6月在民生证券股份有限公司任电子行业分析师。2016年6月加入民生加银基金管理有限公司,曾任行业研究员、基金经理助理。2021年12月15日担任民生加银持续成长混合型证券投资基金基金经理。2022年12月28日起担任民生加银聚优精选混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*60%+恒生综合指数收益率*10%+中债综合指数收益率*30%,2.0199亿份（截止至：2025年06月30日）,2021年09月06日,民生加银聚优精选混合型证券投资基金,建设银行,民生加银聚优精选混合A,民生加银基金,混合型-偏股,朱辰喆,2021年10月14日 / 2.367亿份,每份累计0.00元（0次）,1.34亿元（截止至：2025年06月30日）份额规模2.0199亿份（截止至：2025年06月30日）,该基金无跟踪标的
003147（前端）基金类型混合型-灵活,成功,夏高,"夏高先生:中国国籍,清华大学工学博士。2011年1月至2012年5月就职于博时基金管理有限公司,任股票投资部投资分析员。2012年7月加入大成基金管理有限公司,曾担任数量与指数投资部高级数量分析师、基金经理助理、总监助理,现任指数与期货投资部副总监。2014年12月6日至2023年3月20日任大成中证红利指数证券投资基金基金经理。2015年6月29日至2020年11月13日担任大成中证互联网金融指数分级证券投资基金基金经理。2016年2月3日起任大成中证360互联网+大数据100指数型证券投资基金基金经理。2017年3月21日至2021年4月27日任大成智惠量化多策略灵活配置混合型证券投资基金基金经理。2020年9月18日至2022年10月17日任大成动态量化配置策略混合型证券投资基金基金经理。2020年9月18日至2022年10月25日任大成绝对收益策略混合型发起式证券投资基金基金经理。2021年2月23日起任大成沪深300指数增强型发起式证券投资基金基金经理。2021年4月29日至2022年5月26日任大成中证全指医疗保健设备与服务交易型开放式指数证券投资基金基金经理。2023年4月14日起任大成动态量化配置策略混合型证券投资基金基金经理。2024年7月19日起任大成中证500指数增强型证券投资基金基金经理。具有基金从业资格。",0.15%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,0.60%（每年）,0.00%（每年）,沪深300指数收益率*50%+中债综合指数收益率*50%,0.1104亿份（截止至：2025年06月30日）,2016年08月22日,大成动态量化配置策略混合型证券投资基金,农业银行,大成动态量化配置策略混合A,大成基金,混合型-灵活,夏高,2016年09月20日 / 5.606亿份,每份累计0.00元（0次）,0.13亿元（截止至：2025年06月30日）份额规模0.1104亿份（截止至：2025年06月30日）,该基金无跟踪标的
015715（前端）基金类型混合型-偏股,成功,曹晋,"曹晋先生:硕士,曾任汇丰晋信基金管理公司助理研究员、研究员、基金经理助理、基金经理;自2014年6月加入富国基金管理有限公司,历任权益基金经理,高级权益基金经理;现任富国基金权益投资部权益投资总监助理兼高级权益基金经理。2014年10月27日至2019年3月13日任富国天源沪港深平衡混合型证券投资基金(原富国天源平衡股票型证券投资基金,于2015年10月27日更名)基金经理,2015年1月23日起任富国中小盘精选混合型证券投资基金基金经理,2019年02月01日起任富国通胀通缩主题轮动混合型证券投资基金(原富国通胀通缩主题轮动股票型证券投资基金)基金经理,2019年4月09日至2020年7月30日任富国国家安全主题混合型证券投资基金基金经理,2021年08月30日担任富国匠心精选12个月持有期混合型证券投资基金基金经理。2020年7月17日起任富国创业板两年定期开放混合型证券投资基金基金经理,2020年9月17日起任国成长动力混合型证券投资基金基金经理。具有基金从业资格。2024年11月22日担任富国创新趋势股票型证券投资基金基金经理、富国科技创新灵活配置混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证500指数收益率*70%+恒生指数收益率(使用汇率估值折算)*10%+中债综合全价指数收益率*20%,0.2274亿份（截止至：2025年06月30日）,2022年04月08日,富国成长动力混合型证券投资基金,农业银行,富国成长动力混合C,富国基金,混合型-偏股,曹晋,2022年06月16日 / --,每份累计0.00元（0次）,0.20亿元（截止至：2025年06月30日）份额规模0.2274亿份（截止至：2025年06月30日）,该基金无跟踪标的
019888（前端）基金类型混合型-偏股,成功,任飞,"任飞先生:中国,博士,历任中银基金管理有限公司研究员,中欧基金管理有限公司研究员、总量研究主管、高级研究员,高级研究员。现担任中欧基金管理有限公司权益研究部副总监、基金经理、权益研究组组长。2023年11月14日起担任中欧周期优选混合型发起式证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证上游资源产业指数收益率*60%+中证中游制造产业指数收益率*20%+中证港股通综合指数(人民币)收益率*10%+银行活期存款利率(税后)*10%,0.1584亿份（截止至：2025年09月30日）,2023年11月06日,中欧周期优选混合型发起式证券投资基金,招商银行,中欧周期优选混合发起A,中欧基金,混合型-偏股,任飞,2023年11月14日 / 0.110亿份,每份累计0.00元（0次）,0.27亿元（截止至：2025年09月30日）份额规模0.1584亿份（截止至：2025年09月30日）,该基金无跟踪标的
004433（前端）基金类型指数型-股票,成功,崔蕾,"崔蕾女士:中国国籍,康奈尔大学金融工程硕士,金融风险管理师(FRM),特许金融分析师(CFA),具有基金从业资格。2015年2月加入南方基金,历任数量化投资部助理研究员、研究员,指数投资部研究员;2019年7月12日至2021年4月23日,任南方小康ETF、南方小康ETF联接基金经理;2019年6月28日至2022年2月18日,任大数据300基金经理;2020年3月26日至2023年3月27日,任南方粤港澳大湾区联接基金经理;2022年12月1日至2023年12月29日任南方上证科创板50成份增强策略ETF基金的基金经理。2018年11月8日至2023年12月29日担任南方中证500量化增强股票型发起式证券投资基金基金经理;2019年6月12日至2025年6月6日任南方顶峰TOPIXETF(QDII)基金经理;2019年7月12日起任有色金属、南方有色金属联接、1000ETF基金经理;2019年11月29日至2023年7月4日任南方粤港澳大湾区ETF基金经理;2020年1月17日起任红利50基金经理;2020年1月21日起任南方大盘红利50基金经理;2020年1月17日起任红利50基金经理;2020年1月21日起任南方大盘红利50基金经理;2021年8月19日起任南方中证科创创业50ETF联接基金经理;2021年9月27日起任南方中证1000联接基金经理。2021年12月29日起任南方国证在线消费ETF基金经理;2022年1月26日起任南方中证500增强策略ETF基金经理。2021年6月24日起任南方中证科创创业50ETF基金经理;2022年1月26日起任南方中证500增强策略ETF基金经理;2022年11月23日起任南方国证交通运输行业ETF基金经理。2023年11月24日至今,任南方国证交通运输行业ETF发起联接基金经理。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.40%（每年）,中证申万有色金属指数收益率×95%+银行人民币活期存款利率(税后)×5%,6.2484亿份（截止至：2025年06月30日）,2017年06月02日,南方中证申万有色金属交易型开放式指数证券投资基金发起式联接基金,工商银行,南方中证申万有色金属ETF发起联接C,南方基金,指数型-股票,崔蕾,2017年09月08日 / 0.259亿份,每份累计0.02元（1次）,7.04亿元（截止至：2025年06月30日）份额规模6.2484亿份（截止至：2025年06月30日）,有色金属
006603（前端）基金类型股票型,成功,郝淼,"郝淼先生:中国科学院生物化学与分子生物学博士。2010年7月至2011年2月就职于中国科学院,任助理研究员,从事生物医学领域科研工作;2011年3月至2013年6月就职于平安证券有限责任公司综合研究所任医药行业研究员;2013年6月加入宝盈基金管理有限公司,曾任研究员、基金经理助理、专户投资部投资经理。2021年3月加入嘉实基金管理有限公司,现任职于股票投研体系。曾任宝盈新兴产业灵活配置混合型证券投资基金、宝盈医疗健康沪港深股票型证券投资基金、嘉实创新先锋混合基金经理。现任嘉实医疗保健股票基金经理。2021年8月11日起担任嘉实医药健康股票型证券投资基金基金经理。2022年9月22日起担任嘉实互融精选股票基金的基金经理。",0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,3.7754亿份（截止至：2025年06月30日）,2018年11月23日,嘉实互融精选股票型证券投资基金,工商银行,嘉实互融精选股票A,嘉实基金,股票型,郝淼,2019年02月28日 / 3.490亿份,每份累计0.00元（0次）,6.99亿元（截止至：2025年06月30日）份额规模3.7754亿份（截止至：2025年06月30日）,该基金无跟踪标的
021383（前端）基金类型混合型-偏股,成功,黄继晨,"黄继晨先生:中国国籍,硕士研究生。2010-2012港铁轨道(深圳)有限公司/管理培训生;2012-2014联讯证券/研究员;2016-至今博时基金管理有限公司/历任研究员、高级研究员兼基金经理助理、研究部总经理助理。现任行业研究部总经理助理兼博时科创主题灵活配置混合型证券投资基金(LOF)(2020年11月4日—至今)、博时荣丰回报灵活配置混合型证券投资基金(2021年9月7日—至今)的基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证TMT产业主题指数收益率*60%+中证港股通综合指数(CNY)收益率*25%+中债综合财富(总值)指数收益率*15%,0.0281亿份（截止至：2025年06月30日）,2024年05月10日,博时科技驱动混合型证券投资基金,农业银行,博时科技驱动混合C,博时基金,混合型-偏股,黄继晨,2024年06月12日 / 2.081亿份,每份累计0.00元（0次）,0.03亿元（截止至：2025年06月30日）份额规模0.0281亿份（截止至：2025年06月30日）,该基金无跟踪标的
