基金代码,状态,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,状态_概况,资产规模,跟踪标的
004745（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*50%+中证综合债指数收益率*50%,3.6921亿份（截止至：2025年09月30日）,2017年05月31日,长盛创新驱动灵活配置混合型证券投资基金,建设银行,长盛创新驱动混合A,长盛基金,混合型-灵活,王远鸿,2017年08月16日 / 4.457亿份,每份累计0.00元（0次）,,11.19亿元（截止至：2025年09月30日）份额规模3.6921亿份（截止至：2025年09月30日）,该基金无跟踪标的
012093（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中证综合债指数收益率*20%,2.7403亿份（截止至：2025年06月30日）,2021年06月02日,鹏华创新升级混合型证券投资基金,工商银行,鹏华创新升级混合A,鹏华基金,混合型-偏股,金笑非,2021年06月18日 / 8.278亿份,每份累计0.00元（0次）,,3.13亿元（截止至：2025年06月30日）份额规模2.7403亿份（截止至：2025年06月30日）,该基金无跟踪标的
012769（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证动漫游戏指数收益率*95%+人民币活期存款税后利率*5%,15.1863亿份（截止至：2025年06月30日）,2021年08月09日,华夏中证动漫游戏交易型开放式指数证券投资基金发起式联接基金,民生银行,华夏中证动漫游戏ETF发起式联接C,华夏基金,指数型-股票,鲁亚运,2021年08月31日 / 0.157亿份,每份累计0.00元（0次）,,20.40亿元（截止至：2025年06月30日）份额规模15.1863亿份（截止至：2025年06月30日）,中证动漫游戏指数
018122（前端）基金类型混合型-偏股,成功,0.10%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证数字经济主题指数收益率*70%+中证港股通综合指数收益率(人民币)*10%+中债-综合指数(全价)收益率*20%,2.2401亿份（截止至：2025年06月30日）,2023年03月27日,永赢数字经济智选混合型发起式证券投资基金,浦发银行,永赢数字经济智选混合发起A,永赢基金,混合型-偏股,王文龙,2023年04月10日 / 0.188亿份,每份累计0.00元（0次）,,2.35亿元（截止至：2025年06月30日）份额规模2.2401亿份（截止至：2025年06月30日）,该基金无跟踪标的
007040（前端）基金类型混合型-灵活,成功,0.10%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,0.70%（每年）,0.40%（每年）,沪深300指数收益率×50%+中债综合全价指数收益率×50%,1.8859亿份（截止至：2025年06月30日）,2017年05月26日,新疆前海联合泳隆灵活配置混合型证券投资基金,宁波银行,前海联合泳隆混合C,前海联合,混合型-灵活,张磊,2019年02月22日 / --,每份累计0.00元（0次）,,1.91亿元（截止至：2025年06月30日）份额规模1.8859亿份（截止至：2025年06月30日）,该基金无跟踪标的
012846（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*70%+中证香港100指数收益率*10%+中债总全价指数收益率*20%,3.703亿份（截止至：2025年06月30日）,2021年08月02日,恒越蓝筹精选混合型证券投资基金,江苏银行,恒越蓝筹精选混合,恒越基金,混合型-偏股,赵小燕,2021年08月17日 / 9.014亿份,每份累计0.00元（0次）,,3.85亿元（截止至：2025年06月30日）份额规模3.703亿份（截止至：2025年06月30日）,该基金无跟踪标的
582003（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.00%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*50%+中国债券综合全价指数收益率*50%,0.2627亿份（截止至：2025年06月30日）,2012年07月11日,东吴配置优化灵活配置混合型证券投资基金,农业银行,东吴配置优化混合A,东吴基金,混合型-灵活,周健,2012年08月13日 / 7.757亿份,每份累计0.22元（1次）,,0.37亿元（截止至：2025年06月30日）份额规模0.2627亿份（截止至：2025年06月30日）,该基金无跟踪标的
021089（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.20%（每年）,中证港股通医药卫生综合指数收益率(经估值汇率调整)*95%+银行人民币活期存款利率(税后)*5%,0.0518亿份（截止至：2025年06月30日）,2024年07月22日,鹏华中证港股通医药卫生综合交易型开放式指数证券投资基金发起式联接基金,广发证券,鹏华中证港股通医药卫生ETF发起式联接C,鹏华基金,指数型-股票,张羽翔,2024年07月30日 / 0.140亿份,每份累计0.00元（0次）,,0.08亿元（截止至：2025年06月30日）份额规模0.0518亿份（截止至：2025年06月30日）,中证港股通医药卫生综合港元指数
001613（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.00%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*55%+中债总财富指数收益率*45%,0.29亿份（截止至：2025年09月30日）,2015年10月22日,长城久祥灵活配置混合型证券投资基金,中国银行,长城久祥混合A,长城基金,混合型-灵活,刘疆,2015年11月09日 / 29.792亿份,每份累计0.00元（0次）,,0.46亿元（截止至：2025年09月30日）份额规模0.29亿份（截止至：2025年09月30日）,该基金无跟踪标的
006101（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,沪深300指数收益率×60%+中证全债指数收益率×40%,0.7974亿份（截止至：2025年09月30日）,2018年07月06日,平安优势产业灵活配置混合型证券投资基金,工商银行,平安优势产业混合C,平安基金,混合型-灵活,黄维,2018年08月22日 / 2.997亿份,每份累计0.25元（1次）,,2.08亿元（截止至：2025年09月30日）份额规模0.7974亿份（截止至：2025年09月30日）,该基金无跟踪标的
012780（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证移动互联网指数收益率×70%+中证港股通综合指数收益率×10%+中债综合财富(总值)指数收益率×20%,0.1216亿份（截止至：2025年06月30日）,2021年07月26日,博时移动互联主题混合型证券投资基金,交通银行,博时移动互联主题混合C,博时基金,混合型-偏股,郭晓林,2021年09月29日 / 2.328亿份,每份累计0.00元（0次）,,0.11亿元（截止至：2025年06月30日）份额规模0.1216亿份（截止至：2025年06月30日）,该基金无跟踪标的
016600（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,沪深300指数收益率*50%+上证国债指数收益率*50%,1.4991亿份（截止至：2025年09月30日）,2015年07月13日,万家品质生活灵活配置混合型证券投资基金,农业银行,万家品质生活混合C,万家基金,混合型-灵活,莫海波,2022年09月15日 / --,每份累计0.00元（0次）,,6.68亿元（截止至：2025年09月30日）份额规模1.4991亿份（截止至：2025年09月30日）,该基金无跟踪标的
007771（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率×60%+中债综合全价(总值)指数收益率×40%,0.6146亿份（截止至：2025年09月30日）,2019年08月01日,同泰开泰混合型证券投资基金,平安银行,同泰开泰混合C,同泰基金,混合型-偏股,王秀,2019年08月28日 / 5.067亿份,每份累计0.00元（0次）,,0.60亿元（截止至：2025年09月30日）份额规模0.6146亿份（截止至：2025年09月30日）,该基金无跟踪标的
007818（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证全指通信设备指数收益率*95%+银行活期存款利率(税后)*5%,3.1473亿份（截止至：2025年06月30日）,2019年08月27日,国泰中证全指通信设备交易型开放式指数证券投资基金发起式联接基金,工商银行,国泰中证全指通信设备ETF联接C,国泰基金,指数型-股票,艾小军,2019年09月03日 / 0.142亿份,每份累计0.00元（0次）,,4.47亿元（截止至：2025年06月30日）份额规模3.1473亿份（截止至：2025年06月30日）,中证全指通信设备指数
020691（前端）基金类型指数型-股票,成功,0.05%（每年）,,0.80%（前端）天天基金优惠费率：0.08%（前端）,,,0.40%（每年）,0.00%（每年）,中证全指通信设备指数收益率*95%+银行活期存款利率(税后)*5%,0.1392亿份（截止至：2025年06月30日）,2024年04月17日,博时中证全指通信设备指数型发起式证券投资基金,上海银行,博时中证全指通信设备指数发起式A,博时基金,指数型-股票,李庆阳,2024年05月07日 / 0.100亿份,每份累计0.00元（0次）,,0.17亿元（截止至：2025年06月30日）份额规模0.1392亿份（截止至：2025年06月30日）,中证全指通信设备指数
519766（前端）基金类型混合型-灵活,失败,0.20%（每年）,,1.50%（前端）,,"抓取失败: 网络错误 (HTTPSConnectionPool(host='fundf10.eastmoney.com', port=443): Read timed out. (read timeout=12))",0.60%（每年）,0.00%（每年）,沪深300指数收益率*50%+中债综合全价指数收益率*50%,0.6219亿份（截止至：2025年06月30日）,2016年03月21日,交银施罗德荣鑫灵活配置混合型证券投资基金,民生银行,交银荣鑫灵活配置混合A,交银施罗德基金,混合型-灵活,余李平,2016年03月25日 / 9.890亿份,每份累计0.04元（1次）,,0.97亿元（截止至：2025年06月30日）份额规模0.6219亿份（截止至：2025年06月30日）,该基金无跟踪标的
011301（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,10.1764亿份（截止至：2025年06月30日）,2021年01月22日,易方达智造优势混合型证券投资基金,招商银行,易方达智造优势混合C,易方达基金,混合型-偏股,祁禾,2021年01月26日 / 89.202亿份,每份累计0.00元（0次）,,9.20亿元（截止至：2025年06月30日）份额规模10.1764亿份（截止至：2025年06月30日）,该基金无跟踪标的
006502（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证500指数收益率*80%+上证国债指数收益率*20%,0.4764亿份（截止至：2025年06月30日）,2018年10月23日,财通集成电路产业股票型证券投资基金,工商银行,财通集成电路产业股票A,财通基金,股票型,金梓才,2018年11月29日 / 2.367亿份,每份累计0.00元（0次）,,0.88亿元（截止至：2025年06月30日）份额规模0.4764亿份（截止至：2025年06月30日）,该基金无跟踪标的
007067（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.35%（每年）,申银万国制造业指数收益率*70%+中证全债指数收益率*30%,1.3639亿份（截止至：2025年06月30日）,2019年12月23日,浦银安盛先进制造混合型证券投资基金,兴业银行,浦银安盛先进制造混合C,浦银安盛基金,混合型-偏股,李浩玄、郑敏宏,2020年01月14日 / 35.540亿份,每份累计0.00元（0次）,,1.80亿元（截止至：2025年06月30日）份额规模1.3639亿份（截止至：2025年06月30日）,该基金无跟踪标的
011907（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.00%（每年）,0.25%（每年）,沪深300指数收益率×60%+上证国债指数收益率×40%,0.1039亿份（截止至：2025年06月30日）,2017年02月20日,国泰量化收益灵活配置混合型证券投资基金,招商银行,国泰量化收益灵活配置混合C,国泰基金,混合型-灵活,梁杏、吴可凡,2021年04月09日 / --,每份累计0.00元（0次）,,0.12亿元（截止至：2025年06月30日）份额规模0.1039亿份（截止至：2025年06月30日）,该基金无跟踪标的
007193（前端）基金类型混合型-偏股,成功,0.10%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.20%（每年）,沪深300指数收益率×55%+中证香港100指数收益率×20%+中债总全价指数收益率×25%,3.4117亿份（截止至：2025年06月30日）,2018年11月12日,恒越核心精选混合型证券投资基金,宁波银行,恒越核心精选混合C,恒越基金,混合型-偏股,赵小燕,2019年04月10日 / --,每份累计0.00元（0次）,,7.15亿元（截止至：2025年06月30日）份额规模3.4117亿份（截止至：2025年06月30日）,该基金无跟踪标的
012224（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,中证800指数收益率*80%+中证港股通综合指数收益率*10%+银行活期存款利率(税后)*10%,5.0531亿份（截止至：2025年06月30日）,2021年08月18日,信澳成长精选混合型证券投资基金,浙商银行,信澳成长精选混合C,信达澳亚基金,混合型-偏股,吴凯,2021年09月10日 / 30.284亿份,每份累计0.00元（0次）,,2.56亿元（截止至：2025年06月30日）份额规模5.0531亿份（截止至：2025年06月30日）,该基金无跟踪标的
013856（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证800指数收益率*70%+恒生指数收益率*10%+中债综合财富指数收益率*20%,0.1872亿份（截止至：2025年06月30日）,2022年02月23日,嘉实品质发现混合型证券投资基金,招商银行,嘉实品质发现混合C,嘉实基金,混合型-偏股,蔡丞丰,2022年03月17日 / 2.578亿份,每份累计0.00元（0次）,,0.18亿元（截止至：2025年06月30日）份额规模0.1872亿份（截止至：2025年06月30日）,该基金无跟踪标的
015144（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中证智能制造主题指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+银行活期存款利率(税后)*20%,5.9824亿份（截止至：2025年06月30日）,2022年03月07日,中欧智能制造混合型证券投资基金,招商银行,中欧智能制造混合C,中欧基金,混合型-偏股,邵洁,2022年03月22日 / 2.541亿份,每份累计0.00元（0次）,,8.50亿元（截止至：2025年06月30日）份额规模5.9824亿份（截止至：2025年06月30日）,该基金无跟踪标的
021074（前端）基金类型指数型-股票,成功,0.05%（每年）,,1.00%（前端）,,,0.15%（每年）,0.00%（每年）,中证沪深港黄金产业股票指数收益率*95%+人民币活期存款税后利率*5%,0.3476亿份（截止至：2025年06月30日）,2024年04月11日,华夏中证沪深港黄金产业股票交易型开放式指数证券投资基金发起式联接基金,工商银行,华夏中证沪深港黄金产业股票ETF发起式联接A,华夏基金,指数型-股票,华龙,2024年05月08日 / 0.134亿份,每份累计0.00元（0次）,,0.40亿元（截止至：2025年06月30日）份额规模0.3476亿份（截止至：2025年06月30日）,中证沪深港黄金产业股票指数
016780（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*60%+中债综合指数收益率*40%,0.0686亿份（截止至：2025年06月30日）,2015年03月09日,国投瑞银锐意改革灵活配置混合型证券投资基金,中国银行,国投瑞银锐意改革混合C,国投瑞银基金,混合型-灵活,马柯,2022年10月17日 / --,每份累计0.00元（0次）,,0.06亿元（截止至：2025年06月30日）份额规模0.0686亿份（截止至：2025年06月30日）,该基金无跟踪标的
015673（前端）基金类型指数型-股票,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.00%（每年）,0.30%（每年）,创业板指数收益率*95%+商业银行活期存款利率(税后)*5%,0.2295亿份（截止至：2025年06月30日）,2015年05月25日,鹏华创业板指数型证券投资基金(LOF),建设银行,鹏华创业板指数(LOF)C,鹏华基金,指数型-股票,余展昌,2022年05月10日 / --,每份累计0.00元（0次）,,0.23亿元（截止至：2025年06月30日）份额规模0.2295亿份（截止至：2025年06月30日）,创业板指数(价格)
010378（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率*40%+人民币计价的恒生指数收益率*40%+中证全债指数收益率*20%,24.9969亿份（截止至：2025年06月30日）,2021年01月20日,广发价值核心混合型证券投资基金,招商银行,广发价值核心混合C,广发基金,混合型-偏股,吴远怡,2021年01月22日 / 76.192亿份,每份累计0.00元（0次）,,19.93亿元（截止至：2025年06月30日）份额规模24.9969亿份（截止至：2025年06月30日）,该基金无跟踪标的
021224（前端）基金类型指数型-股票,成功,0.08%（每年）,,0.40%（前端）天天基金优惠费率：0.04%（前端）,,,0.30%（每年）,0.00%（每年）,上证科创板芯片指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.3583亿份（截止至：2025年06月30日）,2024年08月12日,华宝上证科创板芯片指数型发起式证券投资基金,招商银行,华宝上证科创板芯片指数发起A,华宝基金,指数型-股票,陈建华,2024年08月27日 / 0.918亿份,每份累计0.00元（0次）,,0.60亿元（截止至：2025年06月30日）份额规模0.3583亿份（截止至：2025年06月30日）,上证科创板芯片指数
018994（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证数字经济主题指数收益率*65%+中证港股通综合指数(人民币)收益率*15%+银行活期存款利率(税后)*20%,25.7124亿份（截止至：2025年09月30日）,2023年08月28日,中欧数字经济混合型发起式证券投资基金,招商银行,中欧数字经济混合发起C,中欧基金,混合型-偏股,冯炉丹,2023年09月12日 / 0.141亿份,每份累计0.00元（0次）,,77.48亿元（截止至：2025年09月30日）份额规模25.7124亿份（截止至：2025年09月30日）,该基金无跟踪标的
014314（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.20%（每年）,0.80%（每年）,沪深300指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中证综合债指数收益率*20%,0.0791亿份（截止至：2025年06月30日）,2022年04月27日,鹏华创新增长一年持有期混合型证券投资基金,工商银行,鹏华创新增长一年持有期混合C,鹏华基金,混合型-偏股,金笑非,2022年06月21日 / 3.602亿份,每份累计0.00元（0次）,,0.10亿元（截止至：2025年06月30日）份额规模0.0791亿份（截止至：2025年06月30日）,该基金无跟踪标的
011978（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率*75%+中债综合财富指数收益率*25%,0.2112亿份（截止至：2025年06月30日）,2021年07月26日,格林研究优选混合型证券投资基金,交通银行,格林研究优选混合C,格林基金,混合型-偏股,郑中华,2021年08月19日 / 4.190亿份,每份累计0.00元（0次）,,0.20亿元（截止至：2025年06月30日）份额规模0.2112亿份（截止至：2025年06月30日）,该基金无跟踪标的
006910（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中国战略新兴产业成份指数指数收益率×95%+人民币活期存款税后利率×5%,0.4208亿份（截止至：2025年06月30日）,2019年05月06日,战略新兴成指交易型开放式指数证券投资基金发起式联接基金,建设银行,华夏战略新兴成指ETF联接C,华夏基金,指数型-股票,鲁亚运,2019年06月05日 / 2.914亿份,每份累计0.00元（0次）,,0.59亿元（截止至：2025年06月30日）份额规模0.4208亿份（截止至：2025年06月30日）,中国战略新兴产业成份指数
004744（前端）基金类型指数型-股票,成功,0.05%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,0.15%（每年）,0.25%（每年）,创业板指数收益率×95%+活期存款利率(税后)×5%,13.8805亿份（截止至：2025年06月30日）,2011年08月15日,易方达创业板交易型开放式指数证券投资基金联接基金,工商银行,易方达创业板ETF联接C,易方达基金,指数型-股票,成曦、刘树荣,2017年06月02日 / --,每份累计0.00元（0次）,,30.34亿元（截止至：2025年06月30日）份额规模13.8805亿份（截止至：2025年06月30日）,创业板指数(价格)
002669（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*65%+上证国债指数收益率*35%,3.8079亿份（截止至：2025年06月30日）,2016年05月26日,华商万众创新灵活配置混合型证券投资基金,建设银行,华商万众创新混合A,华商基金,混合型-灵活,叶峰,2016年06月28日 / 3.342亿份,每份累计0.00元（0次）,,7.38亿元（截止至：2025年06月30日）份额规模3.8079亿份（截止至：2025年06月30日）,该基金无跟踪标的
016346（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中证500指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债-综合全价(总值)指数收益率*20%,0.0314亿份（截止至：2025年06月30日）,2022年09月13日,长安行业成长混合型证券投资基金,农业银行,长安行业成长混合C,长安基金,混合型-偏股,张云凯,2022年09月29日 / 3.057亿份,每份累计0.00元（0次）,,0.03亿元（截止至：2025年06月30日）份额规模0.0314亿份（截止至：2025年06月30日）,该基金无跟踪标的
012836（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,沪深300指数收益率*80%+恒生综合指数收益率(经汇率调整后)*10%+中债综合(全价)指数收益率*10%,1.8962亿份（截止至：2025年06月30日）,2021年07月08日,招商景气精选股票型证券投资基金,交通银行,招商景气精选股票C,招商基金,股票型,梁辰,2021年07月20日 / 17.124亿份,每份累计0.00元（0次）,,1.90亿元（截止至：2025年06月30日）份额规模1.8962亿份（截止至：2025年06月30日）,该基金无跟踪标的
001076（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率×70%+一年期人民币定期存款利率(税后)×30%,9.0409亿份（截止至：2025年06月30日）,2015年03月30日,易方达改革红利混合型证券投资基金,邮储银行,易方达改革红利混合,易方达基金,混合型-偏股,陈皓,2015年04月23日 / 21.993亿份,每份累计0.00元（0次）,,16.11亿元（截止至：2025年06月30日）份额规模9.0409亿份（截止至：2025年06月30日）,该基金无跟踪标的
012728（前端）基金类型指数型-股票,成功,0.10%（每年）,,0.80%（前端）天天基金优惠费率：0.08%（前端）,,,0.50%（每年）,0.00%（每年）,中证动漫游戏指数收益率*95%+银行活期存款利率(税后)*5%,1.0311亿份（截止至：2025年06月30日）,2021年06月22日,国泰中证动漫游戏交易型开放式指数证券投资基金发起式联接基金,浦发银行,国泰中证动漫游戏ETF联接A,国泰基金,指数型-股票,朱碧莹,2021年06月24日 / 0.123亿份,每份累计0.00元（0次）,,1.42亿元（截止至：2025年06月30日）份额规模1.0311亿份（截止至：2025年06月30日）,中证动漫游戏指数
019829（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证数字经济主题指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价指数收益率*20%,0.4177亿份（截止至：2025年06月30日）,2024年03月01日,华夏数字产业混合型证券投资基金,工商银行,华夏数字产业混合A,华夏基金,混合型-偏股,屠环宇、施知序,2024年03月25日 / 4.111亿份,每份累计0.00元（0次）,,0.54亿元（截止至：2025年06月30日）份额规模0.4177亿份（截止至：2025年06月30日）,该基金无跟踪标的
015389（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中证800指数收益率*70%+中证综合债券指数收益率*30%,0.71亿份（截止至：2025年06月30日）,2015年04月15日,宝盈转型动力灵活配置混合型证券投资基金,农业银行,宝盈转型动力混合C,宝盈基金,混合型-灵活,容志能,2022年04月01日 / --,每份累计0.00元（0次）,,0.92亿元（截止至：2025年06月30日）份额规模0.71亿份（截止至：2025年06月30日）,该基金无跟踪标的
005550（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率×60%+上证国债指数收益率×40%,0.2608亿份（截止至：2025年06月30日）,2018年01月15日,汇安成长优选灵活配置混合型证券投资基金,工商银行,汇安成长优选混合A,汇安基金,混合型-灵活,单柏霖,2018年02月13日 / 2.197亿份,每份累计0.00元（0次）,,0.36亿元（截止至：2025年06月30日）份额规模0.2608亿份（截止至：2025年06月30日）,该基金无跟踪标的
000354（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*80%+中证综合债指数收益率*20%,1.0116亿份（截止至：2025年09月30日）,2013年10月14日,长盛城镇化主题混合型证券投资基金,中国银行,长盛城镇化主题混合A,长盛基金,混合型-偏股,代毅,2013年11月12日 / 20.115亿份,每份累计0.65元（2次）,,2.76亿元（截止至：2025年09月30日）份额规模1.0116亿份（截止至：2025年09月30日）,该基金无跟踪标的
009414（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证健康产业指数收益率×75%+恒生指数收益率×10%+中债综合全价(总值)指数收益率×15%,2.0505亿份（截止至：2025年06月30日）,2020年05月06日,中银大健康股票型证券投资基金,交通银行,中银大健康股票A,中银基金,股票型,郑宁、王方舟,2020年05月27日 / 18.635亿份,每份累计0.00元（0次）,,3.19亿元（截止至：2025年06月30日）份额规模2.0505亿份（截止至：2025年06月30日）,该基金无跟踪标的
014402（前端）基金类型混合型-偏股,失败,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,"抓取失败: 网络错误 (HTTPSConnectionPool(host='fundf10.eastmoney.com', port=443): Read timed out. (read timeout=12))",1.20%（每年）,0.60%（每年）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,0.1198亿份（截止至：2025年06月30日）,2023年04月12日,富国核心趋势混合型证券投资基金,农业银行,富国核心趋势混合C,富国基金,混合型-偏股,赵伟,2023年05月16日 / 2.446亿份,每份累计0.00元（0次）,,0.14亿元（截止至：2025年06月30日）份额规模0.1198亿份（截止至：2025年06月30日）,该基金无跟踪标的
005311（前端）基金类型混合型-偏股,成功,0.20%（每年）,,0.60%（前端）天天基金优惠费率：0.06%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*70%+上证国债指数收益率*30%,4.5816亿份（截止至：2025年09月30日）,2017年11月22日,万家经济新动能混合型证券投资基金,招商银行,万家经济新动能混合A,万家基金,混合型-偏股,黄兴亮,2018年02月07日 / 2.016亿份,每份累计0.00元（0次）,,10.60亿元（截止至：2025年09月30日）份额规模4.5816亿份（截止至：2025年09月30日）,该基金无跟踪标的
022150（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率*50%+恒生指数收益率*30%+中债综合财富指数收益率*20%,1.8128亿份（截止至：2025年06月30日）,2019年01月08日,诺安精选价值混合型证券投资基金,工商银行,诺安精选价值混合C,诺安基金,混合型-偏股,唐晨,2024年09月19日 / --,每份累计0.00元（0次）,,2.85亿元（截止至：2025年06月30日）份额规模1.8128亿份（截止至：2025年06月30日）,该基金无跟踪标的
010780（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.20%（每年）,0.40%（每年）,中证500指数收益率*75%+中债综合全价(总值)指数收益率*25%,0.6774亿份（截止至：2025年06月30日）,2020年12月25日,西部利得量化优选一年持有期混合型证券投资基金,光大银行,西部利得量化优选一年持有C,西部利得基金,混合型-偏股,翟梓舰,2021年01月19日 / 4.027亿份,每份累计0.27元（12次）,,0.77亿元（截止至：2025年06月30日）份额规模0.6774亿份（截止至：2025年06月30日）,该基金无跟踪标的
